X,Y,T
0.0,0.0,10.441205371435052
10.0,0.0,10.253677528036922
17.07106781186548,7.071067811865476,18.398093576160438
17.07106781186548,17.07106781186548,21.41791132265664
10.0,24.14213562373095,29.693865742638376
0.0,24.14213562373095,29.65835190395463
-7.071067811865476,17.07106781186548,22.521143955483485
-7.071067811865476,7.071067811865476,18.849429970542545
1.666666666664463,0.0,10.0
3.333333333326263,0.0,10.000000000000027
4.999999999992402,0.0,10.0
6.6666666666616,0.0,10.0
8.3333333333308,0.0,10.0
0.2877886077429718,0.0,10.00000000000001
0.8333333333322315,0.0,9.999999999999975
1.378878058921491,0.0,10.000000000000044
1.9544552744069752,0.0,10.000000000000027
2.499999999995363,0.0,10.000000000000028
3.0455447255837513,0.0,9.999999999999945
3.6211219410695246,0.0,10.000000000000021
4.166666666659332,0.0,9.999999999999998
4.71221139224914,0.0,10.000000000000014
5.287788607736191,0.0,9.999999999999995
5.833333333327001,0.0,10.000000000000007
6.3788780589178105,0.0,10.000000000000068
6.95445527440539,0.0,10.000000000000037
7.4999999999962,0.0,10.000000000000009
8.045544725587012,0.0,9.999999999999968
8.621121941074591,0.0,9.999999999999977
9.1666666666654,0.0,9.999999999999975
9.712211392256211,0.0,10.000000000000005
11.17851130197408,1.178511301974081,13.579812742843846
12.35702260394767,2.357022603947665,15.519200608806944
13.53553390592382,3.535533905923821,16.442813107239548
14.71404520790492,4.714045207904923,17.23991153087378
15.89255650988503,5.892556509885027,17.89836082921419
10.203497276082956,0.2034972760829558,10.833765752972079
10.58925565098704,0.5892556509870405,11.95195519974633
10.975014025891124,0.9750140258911253,12.97898412354762
11.38200857805695,1.382008578056951,14.076712048112208
11.767766952960875,1.7677669529608728,14.729189811399559
12.153525327864799,2.153525327864795,15.27081141231493
12.560519880030983,2.560519880030979,15.669104818816429
12.946278254935745,2.946278254935743,15.972386212464613
13.332036629840507,3.3320366298405064,16.27900638919897
13.739031182007988,3.739031182007989,16.59068024637809
14.12478955691437,4.124789556914372,16.85581532694326
14.510547931820753,4.510547931820755,17.10893755601698
14.917542483988917,4.917542483988919,17.378591912773555
15.303300858894975,5.303300858894975,17.61121472351288
15.689059233801032,5.689059233801032,17.809509115321433
16.096053785969083,6.096053785969083,18.041445504340935
16.481812160875254,6.481812160875252,18.258423401635547
16.867570535781425,6.867570535781422,18.379085745760698
17.07106781186548,8.737734478532145,18.81887536232588
17.07106781186548,10.40440114519881,19.29743114980262
17.07106781186548,12.07106781186548,19.815062120859864
17.07106781186548,13.73773447853214,20.343147234214957
17.07106781186548,15.40440114519881,20.85717710938455
17.07106781186548,7.358856419608829,18.414864322410285
17.07106781186548,7.904401145198811,18.520130480378764
